projectUUID;personName;personLastName;role;externalContributor;personUUID
d6e92b00-b7c2-44f7-b96f-da3e9d8c7681;Cancan ;Wang;PI;FALSE;605b59ab-91b4-4f8e-bb12-df68ce0491c5
19e2ba95-373f-4091-9ca6-3cef5331bacb;Cancan ;Wang;PI;FALSE;605b59ab-91b4-4f8e-bb12-df68ce0491c5
1b488dd3-466a-4eef-a9ce-74ccca2cb4d9;Cancan ;Wang;PI;FALSE;605b59ab-91b4-4f8e-bb12-df68ce0491c5
416dd5ce-dd32-4fde-bd1a-0a91a14ecca8;Juri ;Petersen;Collaborator;FALSE;5fe674d5-8b11-4c75-8fe0-c7730db40441
4a5fe21c-a2d9-426a-bdb0-524a2754e75d;Martin ;Aumüller;CoI;FALSE;5f52759c-418a-41b7-bbdb-050492677284
33b3fc7e-5aad-48c0-877c-ada1be556f22;Martin ;Aumüller;CoI;FALSE;5f52759c-418a-41b7-bbdb-050492677284
8146f4ce-2057-47de-80a7-f7707e6506e0;Martin ;Aumüller;PI;FALSE;5f52759c-418a-41b7-bbdb-050492677284
a4eefe5d-08f9-41dd-9a3d-f5f76bafc694;Martin ;Aumüller;PI;FALSE;5f52759c-418a-41b7-bbdb-050492677284
0e18ed4e-6696-4060-b108-3f00b8431b89;Patrick ;Bahr;CoI;FALSE;5e271e6a-7a91-47bd-9f12-3b73f4e0d7ac
e643ab11-4b5d-4690-bdf2-a6c75d273fec;Ingrid Jakobi Wolff;Madsen;CoI;FALSE;5e0b9262-e80c-4eb3-9d39-47d0121454ca
28c482c8-3f29-4c4d-abae-c3ea636d65c1;Ingrid Jakobi Wolff;Madsen;CoI;FALSE;5e0b9262-e80c-4eb3-9d39-47d0121454ca
db4436b5-631c-4a43-acd4-404a58e2866f;Rodrigo Moreno;Garcia;CoI;FALSE;5c54c44a-9eaa-4a97-a78a-e853dc73e9d9
5c0cc9c6-9752-4e9c-9ec7-219daef07620;Rodrigo Moreno;Garcia;CoI;FALSE;5c54c44a-9eaa-4a97-a78a-e853dc73e9d9
074b9716-bceb-4e07-90dd-a3c3eaf359ba;Rodrigo Moreno;Garcia;Collaborator;FALSE;5c54c44a-9eaa-4a97-a78a-e853dc73e9d9
07548a95-a062-420a-9a8c-0073892e3826;Alessandro;Bruni;CoI;FALSE;5c50bbc9-ed3d-417f-ba4d-e484eaf536b3
63337a07-1825-4c55-85e3-cf49cbacab88;Alessandro;Bruni;CoI;FALSE;5c50bbc9-ed3d-417f-ba4d-e484eaf536b3
b6ca6347-45a3-4d1d-85ef-4d8a04292324;Alessandro;Bruni;CoI;FALSE;5c50bbc9-ed3d-417f-ba4d-e484eaf536b3
a99d5960-9803-4df2-aa16-981af4a8a414;Alessandro ;Bruni;PI;FALSE;5c50bbc9-ed3d-417f-ba4d-e484eaf536b3
520a1d77-0114-475f-8622-c46c122a0a82;Alessandro;Bruni;PI;FALSE;5c50bbc9-ed3d-417f-ba4d-e484eaf536b3
f14dc4aa-4c94-4a5f-9bc2-d4622e043e88;Alessandro;Bruni;PI;FALSE;5c50bbc9-ed3d-417f-ba4d-e484eaf536b3
f12b4043-511a-49bd-877c-5015fdf7ad38;Alessandro;Bruni;PI;FALSE;5c50bbc9-ed3d-417f-ba4d-e484eaf536b3
2fac8237-561a-4362-a9f5-9b5c67eba00a;Alessandro;Bruni;PI;FALSE;5c50bbc9-ed3d-417f-ba4d-e484eaf536b3
1537cd78-7325-4654-b0c2-5d0969a1d5a2;Alessandro;Bruni;PI;FALSE;5c50bbc9-ed3d-417f-ba4d-e484eaf536b3
ad7197b5-c8d8-48a1-abbc-457f167eab24;Alessandro;Bruni;PI;FALSE;5c50bbc9-ed3d-417f-ba4d-e484eaf536b3
fa242ab9-c4c2-4ed6-9e8b-af2b8be6bef1;Alessandro;Bruni;PI;FALSE;5c50bbc9-ed3d-417f-ba4d-e484eaf536b3
61c6628b-50f5-466b-9545-56d46bff3037;Alessandro ;Bruni;PI;FALSE;5c50bbc9-ed3d-417f-ba4d-e484eaf536b3
22225314-e30a-47e7-b5c5-3e9e1ecdc8d3;Dan Witzner;Hansen;PI;FALSE;5ad9c220-e37f-443a-8a31-fc4abf365db5
1360e564-b050-41ec-b091-f87c6fdfa3ce;Dan Witzner;Hansen;PI;FALSE;5ad9c220-e37f-443a-8a31-fc4abf365db5
34b17ab6-61ea-4bfd-b2a7-5bef2b26a858;Dan Witzner;Hansen;PI;FALSE;5ad9c220-e37f-443a-8a31-fc4abf365db5
9aadc91b-d99a-402c-8c3c-dd2ac88f938f;Dan Witzner;Hansen;CoI;FALSE;5ad9c220-e37f-443a-8a31-fc4abf365db5
2451b04c-4ced-413d-a1e1-be4d639abfc4;Dan Witzner;Hansen;PI;FALSE;5ad9c220-e37f-443a-8a31-fc4abf365db5
2f022072-863c-4cc7-a87f-331731632f7c;Dan Witzner;Hansen;PI;FALSE;5ad9c220-e37f-443a-8a31-fc4abf365db5
e643ab11-4b5d-4690-bdf2-a6c75d273fec;Dan Witzner;Hansen;PI;FALSE;5ad9c220-e37f-443a-8a31-fc4abf365db5
28c482c8-3f29-4c4d-abae-c3ea636d65c1;Dan Witzner;Hansen;CoI;FALSE;5ad9c220-e37f-443a-8a31-fc4abf365db5
e7f0f9c0-f733-47d2-aa61-09c7d53ae85a;Dan Witzner;Hansen;PI;FALSE;5ad9c220-e37f-443a-8a31-fc4abf365db5
80d639a7-da33-4a47-9688-f720c1cbd4e1;Dan Witzner;Hansen;CoI;FALSE;5ad9c220-e37f-443a-8a31-fc4abf365db5
1c4ff755-a82b-4cc6-b672-6b852fe2bc8c;Dan Witzner;Hansen;CoI;FALSE;5ad9c220-e37f-443a-8a31-fc4abf365db5
82e93f7b-a1dd-4319-8f99-02f2f96dc327;Dan Witzner;Hansen;PI;FALSE;5ad9c220-e37f-443a-8a31-fc4abf365db5
8523d2b6-9ed3-452f-ac63-c53040a8206c;Dan Witzner;Hansen;CoI;FALSE;5ad9c220-e37f-443a-8a31-fc4abf365db5
3fe79ef9-5777-4dee-8747-33d8e36ad194;Lasse Buschmann;Alsbirk;CoI;FALSE;59a5c8b4-0a40-4e0b-8160-690a2b7cf1ca
7492316d-f1c5-4c5a-88a7-480e15dec0a2;Bent ;Flyvbjerg;PI;FALSE;598de448-af84-43c8-9147-6134a63c9b3c
7492316d-f1c5-4c5a-88a7-480e15dec0a2;Johanna Christine Larby;Lithén;Admin;FALSE;5890872a-fc4b-4720-93f6-0c473404ca15
dc733cc9-d349-4d71-a766-e33e27e63bbc;Alexander Theodor Bilde;Pedersen;Collaborator;FALSE;585fb82c-8795-458d-bfd7-35e8a9be6125
8097c0e5-c30a-430a-9106-e48815dc802e;Károly;Szánto;CoI;FALSE;55750491-d4d3-47d4-a473-7a2252edb685
65ec71df-6be0-473d-85c7-98375b4c309a;Ola ;Rønning;PI;FALSE;551ffa9b-93c0-41e7-999a-a507a1c0a57e
dc733cc9-d349-4d71-a766-e33e27e63bbc;Martin ;Hentschel;PI;FALSE;54e42219-4e3f-42cd-a19d-66c82ee60654
f38668d7-1ed2-4dbf-b41a-0583a99f52a5;Hanne ;Westh;CoI;FALSE;54728da8-274d-40e6-b119-23318d995721
5dfefa18-89b7-41ca-b016-05f24da59579;Hanne ;Westh;PI;FALSE;54728da8-274d-40e6-b119-23318d995721
8ea1d816-cfb3-4b02-a1cd-5c34a3d0fd61;Hanne ;Westh;CoI;FALSE;54728da8-274d-40e6-b119-23318d995721
e6a60a90-94ef-48c7-9e42-9d768b477430;Hanne ;Westh;PI;FALSE;54728da8-274d-40e6-b119-23318d995721
0ceff908-b0cc-4033-bc28-ea4afe61db99;Christine Borgvold Naaby;Hansen;CoI;FALSE;54383d75-e8f9-42fc-bf92-593e0133f0eb
