paperUUID,personUUID,personName,personLastname,externalContributor,role
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Jan ,van Looy,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Antonius,van Rooij,true,Author
e11d23fd-4f63-42b3-a049-9b93e4925009,,Espen J.,Aarseth,false,Author
e11d23fd-4f63-42b3-a049-9b93e4925009,,Gordon,Calleja,true,Author
4e3e4f11-e91b-4179-a714-f1b874c67704,,Espen J.,Aarseth,false,Author
4e3e4f11-e91b-4179-a714-f1b874c67704,,Solveig Marie,Smedstad,true,Author
4e3e4f11-e91b-4179-a714-f1b874c67704,,Lise,Sunnanå,true,Author
55baa68d-9b80-4fc9-a73b-6939bc507ba2,,Espen J.,Aarseth,false,Author
2e3bb52a-e9a3-4f46-ba39-53db4babc62e,,Espen J.,Aarseth,false,Author
3275258c-f2fa-4ec4-943c-624b335edd4f,,Espen J.,Aarseth,false,Author
30976996-034c-4164-9f2d-980a2809ba91,,Espen J.,Aarseth,false,Author
5b2b5fcc-4585-49ab-bc07-0fab237c138c,,Espen J.,Aarseth,false,Author
e1e420ec-f9a5-4cf6-969e-f1846cbf04ec,,Espen J.,Aarseth,false,Author
6df2b19c-4a98-4975-aaa2-c183d1d9ccbc,,Espen J.,Aarseth,false,Author
cf80036e-9dca-4f9b-b1fa-d93251f3b7e9,,Espen J.,Aarseth,false,Author
d451c215-70ff-4485-b817-becc3bfaf719,,Espen J.,Aarseth,false,Author
9e28b830-b69a-41c9-bef4-8f17bd7908ba,,Espen J.,Aarseth,false,Author
77c0cb82-49ce-4e6e-8506-502d053ba0e4,,Espen J.,Aarseth,false,Author
5c14a08e-4dc6-44fc-9f06-0a2f905ce1d1,,Espen J.,Aarseth,false,Author
1f5b7175-673b-47e5-a7db-78d62c96b66d,,Espen J.,Aarseth,false,Author
cd6c8e87-518d-4e0b-8ec7-442baa7918ff,,Espen J.,Aarseth,false,Author
cd6c8e87-518d-4e0b-8ec7-442baa7918ff,,Johanna,Blom,false,Author
b71caa47-1bef-4b5a-a4a2-194db4ac8ed8,,Espen J.,Aarseth,false,Author
291c18d7-f318-47e6-85bc-d8d0131b13e5,,Espen J.,Aarseth,false,Editor
291c18d7-f318-47e6-85bc-d8d0131b13e5,,Stephan,Günzel,true,Editor
5ba6d38a-c062-4398-9b9c-e4a47ab604ab,,Espen J.,Aarseth,false,Author
5ba6d38a-c062-4398-9b9c-e4a47ab604ab,,Stephan,Günzel,true,Author
625a48a7-80cf-49ab-a46b-ddff586284f6,,Espen J.,Aarseth,false,Author
1127dedf-44fc-4351-97bc-4f1b500ed181,,Espen J.,Aarseth,false,Author
1127dedf-44fc-4351-97bc-4f1b500ed181,,Sebastian Martin,Möring,false,Author
ac2d4289-c93e-4942-9368-e5b52c9ea675,,Espen J.,Aarseth,false,Author
7784ca25-c50f-45cd-b900-153f5f5d6078,,Espen J.,Aarseth,false,Author
4962a8c2-d5e2-480e-b734-50adf0693859,,Espen J.,Aarseth,false,Author
2b076225-3b9e-4c2e-bbd8-0062c4415651,,Espen J.,Aarseth,false,Editor
41f703d1-d860-4c14-9336-f15c4b3febec,,Espen J.,Aarseth,false,Author
0fb19dee-cd02-462b-9781-06c77260e6bd,,Espen J.,Aarseth,false,Author
0fb19dee-cd02-462b-9781-06c77260e6bd,42147e05-f94c-471d-a889-c57a01e4bdd0,Pawel,Grabarczyk,false,Author
9c541576-e9e0-44cf-9626-94d0840d4a1d,,Espen J.,Aarseth,false,Author
4ae6a30d-e34c-4350-a1f7-ae9346ba9a55,,Espen J.,Aarseth,false,Author
f9e35c09-57b2-4190-850e-7bc0568247c6,,Espen J.,Aarseth,false,Author
f9e35c09-57b2-4190-850e-7bc0568247c6,,Torill Elvira,Mortensen,false,Author
c8d15d32-be36-4269-ad6f-7ea7cad6c295,,Espen J.,Aarseth,false,Author
56144d2b-1ffb-4582-b731-7c702dbc2345,,Espen J.,Aarseth,false,Author
7cd9005a-cb4c-4196-9550-391370b7fb43,,Espen J.,Aarseth,false,Author
7cd9005a-cb4c-4196-9550-391370b7fb43,,Veli-Matti,Karhulahti,true,Author
ec299816-b5ad-4b64-9235-cbfed17e7f9e,,Margit Dall,Aaslyng,true,Author
