Course Name,ECTS,Semester,Language,Exam,Teacher,Programme,Single Subject,Guest Students
AI Processes,7.5,Spring 2026,English,"D: Submission of written work with following oral, External (7-point scale)",Pedro Ferreira,MSc in Digital Innovation & Management,Yes,Yes
AI Processes (Spring 2026),7.5,Spring 2014,English,(Spring 2016) 3D Game Art (Spring 2014) Semester Spring 2014,Pedro Ferreira,"KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2015) Semester Spring 2015 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2016) Semester Spring 2016 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2017) Semester Spring 2017 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art - Extraordinary Exam (Spring 2018) AI Processes The course introduces students to the foundations, methods, and practices of Artificial Intelligence within its organizational, social and political contexts. The course combines hands-on exploration of contemporary tools with critical perspectives on their use, equipping students to experiment with the development and use of AI systems and reflect on their broader implications and consequences. Students will work in groups on a project drawing from AI-based approaches (e.g., LLM finetuning, classification, clustering, or developing an AI-based service) to engage, explore or address a particular organizational or societal concern. ECTS 7.5 Semester Spring 2026 Language English Exam D: Submission of written work with following oral, External (7-point scale) Teacher Pedro Ferreira Programme MSc in Digital Innovation & Management",Yes,Yes
AI Robotics,7.5,Spring 2025,English,"B: Oral Exam , External (7-point scale)",Payam Zahadat,MSc in Computer Science Read more,No,No
AI Robotics (Spring 2025),7.5,Spring 2014,English,(Spring 2016) 3D Game Art (Spring 2014) Semester Spring 2014,Pedro Ferreira,"KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2015) Semester Spring 2015 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2016) Semester Spring 2016 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2017) Semester Spring 2017 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art - Extraordinary Exam (Spring 2018) AI Processes The course introduces students to the foundations, methods, and practices of Artificial Intelligence within its organizational, social and political contexts. The course combines hands-on exploration of contemporary tools with critical perspectives on their use, equipping students to experiment with the development and use of AI systems and reflect on their broader implications and consequences. Students will work in groups on a project drawing from AI-based approaches (e.g., LLM finetuning, classification, clustering, or developing an AI-based service) to engage, explore or address a particular organizational or societal concern. ECTS 7.5 Semester Spring 2026 Language English Exam D: Submission of written work with following oral, External (7-point scale) Teacher Pedro Ferreira Programme MSc in Digital Innovation & Management",Yes,Yes
AI Robotics (Spring 2026),7.5,Spring 2014,English,(Spring 2016) 3D Game Art (Spring 2014) Semester Spring 2014,Pedro Ferreira,"KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2015) Semester Spring 2015 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2016) Semester Spring 2016 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2017) Semester Spring 2017 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art - Extraordinary Exam (Spring 2018) AI Processes The course introduces students to the foundations, methods, and practices of Artificial Intelligence within its organizational, social and political contexts. The course combines hands-on exploration of contemporary tools with critical perspectives on their use, equipping students to experiment with the development and use of AI systems and reflect on their broader implications and consequences. Students will work in groups on a project drawing from AI-based approaches (e.g., LLM finetuning, classification, clustering, or developing an AI-based service) to engage, explore or address a particular organizational or societal concern. ECTS 7.5 Semester Spring 2026 Language English Exam D: Submission of written work with following oral, External (7-point scale) Teacher Pedro Ferreira Programme MSc in Digital Innovation & Management",Yes,Yes
AI Security,7.5,Autumn 2026,English,"D: Submission of written work with following oral, External (7-point scale)",Alessandro Bruni,MSc in Computer Science Read more,No,No
AI i organisationer,7.5,Spring 2024,Danish,"C: Submission of written work, Internal (7-point scale)",Carsten Lund Pedersen,Master in IT Management,Yes,No
AI i organisationer (Autumn 2024),7.5,Spring 2014,English,(Spring 2016) 3D Game Art (Spring 2014) Semester Spring 2014,Pedro Ferreira,"KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2015) Semester Spring 2015 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2016) Semester Spring 2016 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2017) Semester Spring 2017 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art - Extraordinary Exam (Spring 2018) AI Processes The course introduces students to the foundations, methods, and practices of Artificial Intelligence within its organizational, social and political contexts. The course combines hands-on exploration of contemporary tools with critical perspectives on their use, equipping students to experiment with the development and use of AI systems and reflect on their broader implications and consequences. Students will work in groups on a project drawing from AI-based approaches (e.g., LLM finetuning, classification, clustering, or developing an AI-based service) to engage, explore or address a particular organizational or societal concern. ECTS 7.5 Semester Spring 2026 Language English Exam D: Submission of written work with following oral, External (7-point scale) Teacher Pedro Ferreira Programme MSc in Digital Innovation & Management",Yes,Yes
AI i organisationer (Autumn 2025),7.5,Spring 2014,English,(Spring 2016) 3D Game Art (Spring 2014) Semester Spring 2014,Pedro Ferreira,"KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2015) Semester Spring 2015 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2016) Semester Spring 2016 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2017) Semester Spring 2017 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art - Extraordinary Exam (Spring 2018) AI Processes The course introduces students to the foundations, methods, and practices of Artificial Intelligence within its organizational, social and political contexts. The course combines hands-on exploration of contemporary tools with critical perspectives on their use, equipping students to experiment with the development and use of AI systems and reflect on their broader implications and consequences. Students will work in groups on a project drawing from AI-based approaches (e.g., LLM finetuning, classification, clustering, or developing an AI-based service) to engage, explore or address a particular organizational or societal concern. ECTS 7.5 Semester Spring 2026 Language English Exam D: Submission of written work with following oral, External (7-point scale) Teacher Pedro Ferreira Programme MSc in Digital Innovation & Management",Yes,Yes
AI i organisationer (Spring 2024),7.5,Spring 2014,English,(Spring 2016) 3D Game Art (Spring 2014) Semester Spring 2014,Pedro Ferreira,"KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2015) Semester Spring 2015 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2016) Semester Spring 2016 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2017) Semester Spring 2017 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art - Extraordinary Exam (Spring 2018) AI Processes The course introduces students to the foundations, methods, and practices of Artificial Intelligence within its organizational, social and political contexts. The course combines hands-on exploration of contemporary tools with critical perspectives on their use, equipping students to experiment with the development and use of AI systems and reflect on their broader implications and consequences. Students will work in groups on a project drawing from AI-based approaches (e.g., LLM finetuning, classification, clustering, or developing an AI-based service) to engage, explore or address a particular organizational or societal concern. ECTS 7.5 Semester Spring 2026 Language English Exam D: Submission of written work with following oral, External (7-point scale) Teacher Pedro Ferreira Programme MSc in Digital Innovation & Management",Yes,Yes
